representation,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
MIDNIGHT12K_SMALL,3,2,Myeloid,0.27439024390243905,0.16260162601626016,0.20419739081111743,0.6601649216064123,0.2544412732432916,1107
MIDNIGHT12K_SMALL,3,3,Neutrophil,0.14399205561072492,0.4393939393939394,0.2169035153328347,0.7701564517353989,0.14116598011840054,330
MIDNIGHT12K_SMALL,3,4,Plasma cell,0.17287234042553193,0.436241610738255,0.24761904761904763,0.8643825043320027,0.21811719163642104,149
MIDNIGHT12K_SMALL,3,5,T and B,0.4514018691588785,0.3827258320126783,0.4142367066895369,0.8122486346771652,0.45856092090020995,1262
MIDNIGHT12K_SMALL,3,6,Tumor,0.8299866131191432,0.8493150684931506,0.8395396073121192,0.9679173336948755,0.9232987350217279,1460
MIDNIGHT12K_SMALL,4,0,Endothelial,0.48095971824785383,0.5385753019472517,0.5081395348837209,0.8395354945372049,0.5273847047075426,4057
MIDNIGHT12K_SMALL,4,1,Mesenchymal,0.4439327192631157,0.4161036036036036,0.42956791319511717,0.7777427793130908,0.439274950635972,5328
MIDNIGHT12K_SMALL,4,2,Myeloid,0.3486655309483248,0.2669565217391304,0.30238857424279736,0.686866627448366,0.2968396865024048,4600
MIDNIGHT12K_SMALL,4,3,Neutrophil,0.3482652613087396,0.46812278630460447,0.3993956182321833,0.7891064058030551,0.3449121777412686,3388
MIDNIGHT12K_SMALL,4,4,Plasma cell,0.4864401496259352,0.7545938104448743,0.591546626231994,0.8894006404723641,0.6202586521176724,4136
MIDNIGHT12K_SMALL,4,5,T and B,0.4455357142857143,0.13596730245231609,0.20835073068893528,0.7419184329201327,0.31244795408572523,3670
MIDNIGHT12K_SMALL,4,6,Tumor,0.7638190954773869,0.7702702702702703,0.7670311185870479,0.9624009322977213,0.8439861537884078,3552
MIDNIGHT12K_CONTEXT,0,0,Endothelial,0.2422520661157025,0.39246861924686194,0.29958479718939635,0.6942419926473913,0.2636431834395501,2390
MIDNIGHT12K_CONTEXT,0,1,Mesenchymal,0.3212669683257919,0.06320474777448071,0.10562856434416068,0.6042752269481548,0.23072617355946087,3370
MIDNIGHT12K_CONTEXT,0,2,Myeloid,0.27149321266968324,0.09689140088817118,0.1428146385004463,0.5874801019272864,0.18713531541639064,2477
MIDNIGHT12K_CONTEXT,0,3,Neutrophil,0.12086092715231789,0.07403651115618662,0.09182389937106919,0.549335634763039,0.07033305854945957,986
MIDNIGHT12K_CONTEXT,0,4,Plasma cell,0.17487046632124353,0.19809244314013205,0.18575851393188855,0.6653532369986888,0.14209877973135376,1363
MIDNIGHT12K_CONTEXT,0,5,T and B,0.5251357749617045,0.6568542065842188,0.5836557808388794,0.7815232734781957,0.5808685167378366,5741
MIDNIGHT12K_CONTEXT,0,6,Tumor,0.463871543264942,0.7160068846815835,0.5629990526458248,0.8991022020165111,0.5947569029208405,2905
MIDNIGHT12K_CONTEXT,1,0,Endothelial,0.37144992526158443,0.5569667538289129,0.4456732924824391,0.776532879395955,0.4728719370074208,2677
MIDNIGHT12K_CONTEXT,1,1,Mesenchymal,0.30653203689852904,0.590537944284342,0.4035778762514361,0.6121407148627069,0.3430725981037126,4164
MIDNIGHT12K_CONTEXT,1,2,Myeloid,0.3888888888888889,0.019615692554043235,0.03734756097560976,0.6122571587943886,0.22175628498059635,2498
MIDNIGHT12K_CONTEXT,1,3,Neutrophil,0.06310679611650485,0.061611374407582936,0.06235011990407674,0.5867495455939432,0.03109171653432879,211
